nr,taverage,waverage,area,Lnominal,smax,Ncycles,smean,smin
373,6.57,24.84,163.2,150.0,0.0,0.0,-261.46,-522.92
378,6.55,24.9,163.1,150.0,258.56,2.225309281725863,0.0,-258.56
383,6.55,24.55,160.8,150.0,259.01,2.526339277389844,0.0,-259.01
398,6.54,25.16,164.55,155.0,0.0,0.0,-250.81,-501.62
403,6.56,25.02,164.13,155.0,199.35,3.2780673308886623,0.0,-199.35
495,6.8,25.23,171.56,150.0,517.88,0.0,258.94,0.0
496,6.75,25.18,169.97,150.0,519.52,0.0,259.76,0.0
497,6.78,25.23,171.06,150.0,525.84,0.0,262.92,0.0
498,6.8,25.24,171.63,150.0,500.55,0.0,250.275,0.0
499,6.78,25.24,171.13,150.0,530.83,0.0,265.415,0.0
500,6.8,25.22,171.5,150.0,0.0,0.0,-204.93,-409.86
501,6.79,25.1,170.43,150.0,0.0,0.0,-202.315,-404.63
502,6.78,25.23,171.06,150.0,0.0,0.0,-201.13,-402.26
503,6.8,25.21,171.43,150.0,0.0,0.0,-201.775,-403.55
504,6.77,25.27,171.08,150.0,0.0,0.0,-208.065,-416.13
515,6.6,25.3,166.98,150.0,528.81,0.0,264.405,0.0
516,6.65,25.37,168.71,150.0,535.24,0.0,267.62,0.0
517,6.58,25.0,164.5,150.0,539.21,0.0,269.605,0.0
518,6.58,25.25,166.15,150.0,536.28,0.0,268.14,0.0
519,6.63,25.21,167.14,150.0,525.9,0.0,262.95,0.0
520,6.65,25.3,168.25,150.0,0.0,0.0,-228.535,-457.07
521,6.61,25.18,166.44,150.0,0.0,0.0,-249.34,-498.68
522,6.6,25.26,166.72,150.0,0.0,0.0,-250.125,-500.25
523,6.6,25.16,166.06,150.0,0.0,0.0,-250.52,-501.04
524,6.63,25.21,167.14,150.0,0.0,0.0,-237.225,-474.45
525,6.66,25.12,167.3,150.0,543.94,0.0,271.97,0.0
526,6.62,25.01,165.57,150.0,578.02,0.0,289.01,0.0
527,6.62,25.32,167.62,150.0,574.52,0.0,287.26,0.0
528,6.66,25.24,168.1,150.0,551.46,0.0,275.73,0.0
529,6.54,25.07,163.96,150.0,547.7,0.0,273.85,0.0
530,6.64,25.18,167.2,150.0,0.0,0.0,-254.195,-508.39
531,6.62,25.16,166.56,150.0,0.0,0.0,-252.165,-504.33
532,6.54,25.16,164.55,150.0,0.0,0.0,-237.015,-474.03
533,6.6,25.2,166.32,150.0,0.0,0.0,-258.54,-517.08
534,6.56,25.2,165.31,150.0,0.0,0.0,-269.49,-538.98
535,6.75,25.29,170.62,150.0,263.74,2.423245873936808,0.0,-263.74
536,6.8,25.21,171.43,150.0,204.17,2.646403726223069,0.0,-204.17
537,6.82,25.27,172.23,150.0,174.18,2.8715729355458786,0.0,-174.18
538,6.79,25.2,171.13,150.0,175.3,3.0572856444182146,0.0,-175.3
539,6.79,25.24,171.36,150.0,145.89,3.14705767102836,0.0,-145.89
540,6.76,25.23,170.55,150.0,146.58,3.4658288153574364,0.0,-146.58
541,6.82,25.23,171.98,150.0,116.29,3.9107310980433807,0.0,-116.29
542,6.76,25.07,169.58,150.0,117.94,4.0713664367591305,0.0,-117.94
543,6.76,25.2,170.41,150.0,111.49,3.954676586918644,0.0,-111.49
544,6.79,25.24,171.46,150.0,104.98,6.48505812437859,0.0,-104.98
545,6.75,25.02,168.91,150.0,106.57,6.667145101801253,0.0,-106.57
546,6.81,25.23,171.73,150.0,98.99,6.858764330721243,0.0,-98.99
605,6.72,24.78,166.52,300.0,544.3,0.0,272.15,0.0
606,6.78,24.76,167.87,300.0,561.36,0.0,280.68,0.0
607,6.72,24.72,166.12,300.0,564.0,0.0,282.0,0.0
608,6.73,24.69,166.16,300.0,523.43,0.0,261.715,0.0
609,6.53,24.72,161.42,300.0,545.99,0.0,272.995,0.0
